日期,市場,產品,上價,中價,下價,平均價(元/公斤),價格跟前一交易日比較%,交易量(公斤),交易量跟前一交易日比較%
100/01/14,800 高雄市,P1 番石榴 珍珠芭 ,35.0,29.3,20.0,28.6, -   ,438, -   
100/01/15,104 台北二,P1 番石榴 珍珠芭 ,66.5,45.1,27.2,45.8, -  4,14451, + 74
100/01/15,241 三重區,P1 番石榴 珍珠芭 ,53.7,32.5,25.3,35.3, +  2,42882, + 57
100/01/15,800 高雄市,P1 番石榴 珍珠芭 ,38.5,30.5,25.0,31.0, +  8,1480, +238
100/01/15,600 嘉義市,P1 番石榴 珍珠芭 ,55.0,33.0,17.0,33.0, -  8,990, + 10
100/01/15,400 台中市,P1 番石榴 珍珠芭 ,41.1,25.5,12.5,32.1, -  5,33593, +109
100/01/15,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.4, -   ,225, -  9
100/01/15,109 台北一,P1 番石榴 珍珠芭 ,69.4,39.9,22.0,42.2, - 12,47197, +118
100/01/16,600 嘉義市,P1 番石榴 珍珠芭 ,50.0,28.0,15.0,28.0, - 15,840, - 15
100/01/16,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.2, -   ,277, + 23
100/01/16,400 台中市,P1 番石榴 珍珠芭 ,40.7,21.1,10.8,30.8, -  4,24772, - 26
100/01/16,104 台北二,P1 番石榴 珍珠芭 ,63.5,41.0,24.9,42.3, -  8,13956, -  3
100/01/16,109 台北一,P1 番石榴 珍珠芭 ,62.2,33.0,15.8,35.4, - 16,39980, - 15
100/01/16,241 三重區,P1 番石榴 珍珠芭 ,49.1,30.8,25.4,33.4, -  5,34269, - 20
100/01/16,800 高雄市,P1 番石榴 珍珠芭 ,35.0,26.3,25.0,27.8, - 10,360, - 76
100/01/17,600 嘉義市,P1 番石榴 珍珠芭 ,50.0,28.0,15.0,28.0, -   ,810, -  4
100/01/18,241 三重區,P1 番石榴 珍珠芭 ,53.9,31.3,23.3,34.2, +  2,25394, - 26
100/01/18,400 台中市,P1 番石榴 珍珠芭 ,39.2,21.6,10.7,29.8, -   ,25720, -   
100/01/18,104 台北二,P1 番石榴 珍珠芭 ,65.6,40.9,20.7,41.8, -   ,11698, -   
100/01/18,109 台北一,P1 番石榴 珍珠芭 ,60.7,29.7,12.7,32.5, -  8,36647, -  8
100/01/18,800 高雄市,P1 番石榴 珍珠芭 ,50.0,44.3,30.0,42.6, -   ,636, -   
100/01/18,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.6, +  1,371, + 34
100/01/18,600 嘉義市,P1 番石榴 珍珠芭 ,48.0,26.0,12.0,26.0, -  7,750, -  7
100/01/19,400 台中市,P1 番石榴 珍珠芭 ,36.5,17.6,10.0,25.4, - 15,15872, - 38
100/01/19,241 三重區,P1 番石榴 珍珠芭 ,56.5,31.7,24.6,35.2, +  3,27048, +  7
100/01/19,104 台北二,P1 番石榴 珍珠芭 ,66.5,33.3,15.4,36.3, - 13,11619, -  1
100/01/19,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.4, -   ,240, - 35
100/01/19,109 台北一,P1 番石榴 珍珠芭 ,59.8,27.8,12.9,31.2, -  4,29608, - 19
100/01/20,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.3, -   ,124, - 48
100/01/20,400 台中市,P1 番石榴 珍珠芭 ,34.6,18.1,8.9,22.8, - 10,15399, -  3
100/01/20,600 嘉義市,P1 番石榴 珍珠芭 ,45.0,24.0,10.0,24.0, -   ,560, -   
100/01/20,241 三重區,P1 番石榴 珍珠芭 ,50.4,30.6,24.4,33.3, -  5,25892, -  4
100/01/20,104 台北二,P1 番石榴 珍珠芭 ,58.9,28.6,10.9,31.1, - 14,9198, - 21
100/01/20,109 台北一,P1 番石榴 珍珠芭 ,56.6,26.7,10.9,29.5, -  5,26434, - 11
100/01/21,400 台中市,P1 番石榴 珍珠芭 ,33.3,17.6,10.5,21.3, -  7,18515, + 20
100/01/21,600 嘉義市,P1 番石榴 珍珠芭 ,45.0,23.0,10.0,23.0, -  4,600, +  7
100/01/21,109 台北一,P1 番石榴 珍珠芭 ,56.2,26.2,10.5,29.0, -  2,28961, + 10
100/01/21,104 台北二,P1 番石榴 珍珠芭 ,60.1,28.6,9.7,31.1, -   ,9485, +  3
