日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/07/03,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"17,210", + 46
100/07/05,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"11,770", - 32
100/07/06,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.9,7.0,11.9, -  1,"15,164", + 29
100/07/07,104 台北二  ,T1 西瓜 大西瓜 ,16.3,11.0,7.2,11.3, -  5,"11,107", - 27
100/07/08,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.3,7.0,12.2, +  8,"27,486", +147
100/07/09,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.6,7.0,11.8, -  3,"43,853", + 60
100/07/10,104 台北二  ,T1 西瓜 大西瓜 ,10.6,7.8,7.0,8.2, - 31,"22,233", - 49
100/07/12,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.1,7.0,10.9, + 33,"65,830", +196
100/07/13,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, + 56,48, -100
100/07/14,104 台北二  ,T1 西瓜 大西瓜 ,12.5,8.6,7.0,9.0, - 47,"5,639", +999
100/07/15,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.8,6.8,11.9, + 32,"23,569", +318
100/07/16,104 台北二  ,T1 西瓜 大西瓜 ,11.9,8.9,8.0,9.4, - 21,"1,616", - 93
100/07/17,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, + 28,"11,320", +600
100/07/19,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.2,6.0,10.7, - 11,"30,561", +170
100/07/20,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.4,7.0,11.6, +  8,"23,820", - 22
100/07/21,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.2,7.0,10.9, -  6,"9,570", - 60
100/07/22,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.8,7.0,11.3, +  4,"19,166", +100
100/07/23,104 台北二  ,T1 西瓜 大西瓜 ,9.5,7.4,7.0,7.7, - 32,"2,567", - 87
100/07/24,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.6,7.0,11.2, + 45,"12,270", +378
100/07/26,104 台北二  ,T1 西瓜 大西瓜 ,9.5,7.0,7.0,7.5, - 33,"3,413", - 72
100/07/27,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.7,7.0,12.4, + 65,"3,737", +  9
100/07/28,104 台北二  ,T1 西瓜 大西瓜 ,14.8,7.0,7.0,8.6, - 31,"15,995", +328
100/07/29,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.9,7.0,11.4, + 33,"11,088", - 31
100/07/30,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.8,7.0,11.3, -  1,"14,910", + 34
